houseID,roomDescription,roomCode,roomType,replicate,roomUnique,Floor level,#windows,#doors,Floor type,Order,Family,familyLong,numMS,houseAge,acreage,sqFeet,lon,lat,Can100m,Can500m,Imp100m,Imp500m,groundDivAvg,canopyDivAvg,groundCoverAvg,canopyCoverAvg,vegAvg
house.01,Unfinished room in Bsmt,house.01.Unfinished room in Bsmt,basement,1,house.01_basement_1,0,0,0,Concrete,Araneae (spiders),Theridiidae (cobweb spiders),Araneae (spiders)_Theridiidae (cobweb spiders),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Unfinished room in Bsmt,house.01.Unfinished room in Bsmt,basement,1,house.01_basement_1,0,0,0,Concrete,Blattodea (cockroaches),Blattidae (cockroaches),Blattodea (cockroaches)_Blattidae (cockroaches),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Unfinished room in Bsmt,house.01.Unfinished room in Bsmt,basement,1,house.01_basement_1,0,0,0,Concrete,"Orthoptera (grasshoppers, etc)",Rhaphidophoridae (camel crickets),"Orthoptera (grasshoppers, etc)_Rhaphidophoridae (camel crickets)",1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,Araneae (spiders),Agelenidae (funnel weavers),Araneae (spiders)_Agelenidae (funnel weavers),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,Araneae (spiders),Pholcidae (cellar spiders),Araneae (spiders)_Pholcidae (cellar spiders),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,Araneae (spiders),Theridiidae (cobweb spiders),Araneae (spiders)_Theridiidae (cobweb spiders),2,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,Blattodea (cockroaches),Blattidae (cockroaches),Blattodea (cockroaches)_Blattidae (cockroaches),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,Coleoptera (beetles),Curculionidae (snout & bark beetles),Coleoptera (beetles)_Curculionidae (snout & bark beetles),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,Coleoptera (beetles),Dermestidae (carpet beetles),Coleoptera (beetles)_Dermestidae (carpet beetles),1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,"Hymenoptera (bees, wasps, ants)",Eulophidae (chalcid wasps),"Hymenoptera (bees, wasps, ants)_Eulophidae (chalcid wasps)",1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Laundry in Basement,house.01.Laundry in Basement,basement,2,house.01_basement_2,0,1,0,Concrete,"Orthoptera (grasshoppers, etc)",Rhaphidophoridae (camel crickets),"Orthoptera (grasshoppers, etc)_Rhaphidophoridae (camel crickets)",1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Studio in Basement,house.01.Studio in Basement,basement,3,house.01_basement_3,0,1,1,Carpet,"Acari (mites, ticks)",Oribatida (moss mites),"Acari (mites, ticks)_Oribatida (moss mites)",1,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
house.01,Studio in Basement,house.01.Studio in Basement,basement,3,house.01_basement_3,0,1,1,Carpet,Araneae (spiders),Pholcidae (cellar spiders),Araneae (spiders)_Pholcidae (cellar spiders),2,86,0.12,1960,-78.670466,35.794007,72.15625,64.9713974,8.28125,13.3512583,1,1,1,1,1
